zone,long_dw,long_up
1,-180,-174.05
2,-174,-168.05
3,-168,-162.05
4,-162,-156.05
5,-156,-150.05
6,-150,-144.05
7,-144,-138.05
8,-138,-132.05
9,-132,-126.05
10,-126,-120.05
11,-120,-114.05
12,-114,-108.05
13,-108,-102.05
14,-102,-96.05
15,-96,-90.05
16,-90,-84.05
17,-84,-78.05
18,-78,-72.05
19,-72,-66.05
20,-66,-60.05
21,-60,-54.05
22,-54,-48.05
23,-48,-42.05
24,-42,-36.05
25,-36,-30.05
26,-30,-24.05
27,-24,-18.05
28,-18,-12.05
29,-12,-6.05
30,-6,-0.05
31,0,5.95
32,6,11.95
33,12,17.95
34,18,23.95
35,24,29.95
36,30,35.95
37,36,41.95
38,42,47.95
39,48,53.95
40,54,59.95
41,60,65.95
42,66,71.95
43,72,77.95
44,78,83.95
45,84,89.95
46,90,95.95
47,96,101.95
48,102,107.95
49,108,113.95
50,114,119.95
51,120,125.95
52,126,131.95
53,132,137.95
54,138,143.95
55,144,149.95
56,150,155.95
57,156,161.95
58,162,167.95
59,168,173.95
60,174,180
